Thailändisch,Deutsch,หมายเหตุ
เขาไม่รู้ว่าฉันรู้จัก Michael และว่าเขาเป็นเพื่อนของฉัน,"Er weiß nicht, dass ich Michael kenne und dass er mein Freund ist.",
เขา (er) ตั้งใจจะไปเรียนที่ประเทศเยอรมนี,Er will in Deutschland studieren.,
เขาแสดงให้ดูว่าไข่เอาไปทำอาหารอย่างไร,Er zeigt wie man Eier kocht.,
เขาลังเลอยู่นาน จนกระทั่งตอบฉันในที่สุด,"Er zögert lange, bis er mir endlich antwortet.",
เขาเปิด(!m)ประตู　ตอนนี้มันเปิดอยู่,Er öffnet die Tür. Jetzt ist sie auf.,
เขาพูดกับ(z)น้องชายของเขาอีกครั้ง,Erneut spricht er zu seinem Bruder.,เริ่มด้วยประโยคด้วยคำว่าอีกครั้ง
ฉันชอบมัน(ก)มากกว่า,Es gefällt mir besser.,- ทำให้ชอบ
มีสุนัขอยู่หนึ่งตัวในบ้านหลังนี้,Es gibt einen Hund in diesem Haus.,
มีดอกไม้สวย ๆ อยู่ในสวน,Es gibt schöne Blumen im Garten.,
มีกลุ่มเป็นจำนวนมาก(!v),Es gibt zahlreiche Gruppen.,
มันเป็นคืน(!N)สุดท้ายของเธอ,Es ist dein letzter Abend.,
มัน(ก)อยู่ตรงแม่น้ำไรน์พอดีเลย,Es ist direkt am Rhein.,
มันคือสวนที่ไม่มีดอกไม้,Es ist ein Garten ohne Blumen.,
เกือบเที่ยง,Es ist gleich zwölf.,gleich
มันอยู่หลังโซฟา,Es ist hinter dem Sofa.,es
มัน(ก)อยู่(s)ทางทิศตะวันตกของตำบล,Es ist im Westen des Landkreises.,
เกือบเที่ยงครึ่ง,Es ist kurz vor halb eins.,kurz
มันเป็นเวลา 17 นาฬิกาและ<b><u><i>ยัง</i></u></b>เร็วเกินไปสำหรับอาหารเย็น,Es ist siebzehn Uhr und noch zu früh zum Abendessen.,
มัน(ก)เป็นสีฟ้าทั้งอัน,Es ist völlig blau.,y
มันมืดเกินไป　ไฟปิดอยู่　เปิดให้หน่อยสิ,Es ist zu dunkel. Das Licht ist aus. Mach es doch bitte an.,
มีก้อนเมฆ(พหู)อยู่บนท้องฟ้า,Es sind Wolken am Himmel.,
มีผู้คนส่งเสียงดังบนถนน,Es sind laute Leute auf der Straße.,
มันเป็นสองโรงแรมที่ต่าง(u)กัน,Es sind zwei unterschiedliche Hotels.,
มีบางอย่างเคลื่อนไหว,Etwas bewegt sich.,
หนังสือ<sub>(พหู)</sub>ของพวกเธออยู่ในชั้นหนังสือ<sub>(พหู)</sub>ของพวกเธอ,Eure Bücher sind in euren Regalen.,
ขับช้า ๆ หน่อย,Fahr bitte langsam!,- du!<br>- bitte
คุณขี่จักรยานไหม,Fahren Sie Rad?,Sie
ตรงนี้ถ่ายรูปไม่ได้นะ,Fotografiert hier nicht!,- ihr!
Franka แก่ที่สุด,Franka ist am ältesten.,
แฟรงก์เฟิร์ตไม่ใหญ่เท่าเบอร์ลิน แต่แฟรงก์เฟิร์ตมีสนามบินขนาดใหญ่อยู่แห่งหนึ่ง,"Frankfurt ist nicht so groß wie Berlin, aber Frankfurt hat einen großen Flughafen.",
แฟรงก์เฟิร์ตอยู่ไกลออกไป,Frankfurt ist weit weg.,
คุณ Schmidt (ญ) อยู่เมืองไทยมา 30 ปีและรักเมืองไทยมาก,Frau Schmidt lebt seit dreißig Jahren in Thailand und liebt Thailand sehr.,
ตอนเช้าตรู่ฉันวิ่งออกกำลัง,Frühmorgens jogge ich.,
ห้าน้อยกว่าแปด,Fünf ist kleiner als acht.,
เธอชอบเชื้อเชิตไหม,Gefällt dir das Hemd?,
ไปเดินเล่นสิ,Geh doch spazieren!,- du!<br>- doch
เธอจะเข้าเมืองไป(g)กับพวกเราไหม,Gehst du mit uns in die Stadt?,du
อยู่ด้วยกัน(!z)พวกเราแข็งแกร่งยิ่งขึ้น,Gemeinsam sind wir stärker.,
เมื่อวานพวกเราได้ไปเดินเล่นสนุก ๆ กัน<u>รอบ ๆ ทะเลสาบ</u>,Gestern haben wir einen schönen Spaziergang um den See gemacht.,- Perfekt<br>- การเดินเล่นที่งดงาม
<u>เมื่อวาน</u>เธอ(๓)อยู่(b→z)แค่ที่บ้าน,Gestern ist sie nur zu Hause geblieben.,- perfekt<br>- เธอ บุรุษที่ ๓
เอาโทรศัพท์เธอมาซิ,Gib mir dein Handy!,- du!<br>- ให้: geben
เอากระเป๋าเธอมาให้ฉัน,Gib mir deine Tasche.,
ที่นี่มีอ่างอาบน้ำไหม,Gibt es hier eine Badewanne?,
ดูนั่นสิ　ผู้ชายใส่เสื้อเชิตสีขาว　เราไปถามเขากัน,Guck mal den da. Den Mann im weißen Hemd. Wir gehen ihn fragen.,
เป็นความคิดที่ดี　ฉันอยากซื้อเค้กให้เขา,Gute Idee. Ich möchte ihm einen Kuchen kaufen.,
คุณ(Sie)มีเอกสารอยู่กับตัวหรือไม่,Haben Sie die Dokumente dabei?,
พวกเธอได้อ่านหนังสือพิมพ์กัน<b><u><i>แล้ว</i></u></b>หรือยัง,Habt ihr schon die Zeitung gelesen?,- Perfekt
Hans ตอบคำถามครู,Hans antwortet dem Lehrer.,
เธอมียา/วิธีแก้ปวดหัวไหม,Hast du ein Medikament gegen Kopfschmerzen?,
เธอมีเวลาตอน<u>ประมาณ</u>บ่ายสองโมงไหม,Hast du gegen vierzehn Uhr Zeit?,du / offiziell
มีแผนทำอะไรวันนี้ช่วงบ่าย<u>แล้ว</u>หรือยัง,Hast du heute Nachmittag schon was vor?,du
คุณมีจักรยานแล้วหรอ　หรือว่าจักรยานตรงนี้เป็นของใคร,Hast du jetzt ein Fahrrad? Oder wem gehört das Fahrrad hier?,
เธอได้รับโปสการ์ดของฉันหรือยัง,Hast du meine Postkarte bekommen?,perfekt<br>โปรการ์ด - P
เธอเห็นไฟฉายของฉันไหม,Hast du meine Taschenlampe gesehen?,- perfekt
เธอยังหิวอยู่ไหม / ไม่ฉันไม่หิวแล้ว,"Hast du noch Hunger? / Nein, ich habe keinen Hunger mehr.",
เมื่อวันศุกร์พวกเธอมีงานเยอะกันไหมที่สำนักงาน,Hattet ihr am Freitag viele Arbeit im Büro?,- Präteritum
คุณ Hansen (ช) ไม่อยู่　เขาจะกลับมาในอีก 3 วัน,Herr Hansen ist verreist. Er kommt in drei Tagen zurück.,
วันนี้ตอนเย็นหรอ ไม่ได้ ตอนนั้นฉันจะไป(g)กับ Hans ที่มหาวิทยาลัย,Heute Abend? Das geht nicht. Da gehe ich mit Hans in die Universität.,
วันนี้อนุญาตให้ลูก ๆ ของฉันดูทีวีได้,Heute dürfen meine Kinder fernsehen.,
ที่นี่ห้ามสูบบุหรี่,Hier darf man nicht rauchen.,man
ตรงนี้คือเก้าอี้นวม　มันเก่าเกินไป　เธอไม่อยากได้มันหรอก,Hier ist der Sessel. Er ist zu alt. Du brauchst ihn nicht.,
ตรงนี้คือวิทยุของฉัน มันใช้งานได้ดี เธอเอาไปก็ได้นะ,Hier ist mein Radio. Es funktioniert gut. Du kannst es haben.,du
ตรงนี้คือเครื่องซักผ้าของพวกเรา มันใหม่มาก เธอต้องอยากได้แน่ ๆ,Hier ist unsere Waschmaschine. Sie ist sehr neu. Du brauchst sie bestimmt.,
ตรงนี้ เราต้องขึ้น(n)รถไฟขบวนนี้,"Hier, diesen Zug müssen wir nehmen.",
หลังเธอ(๓)มีสิงโตตัวหนึ่งยืนอยู่,Hinter ihr steht ein Löwe.,- ขึ้นประโยคด้วยบุพบท
หวังเป็นอย่างยิ่งว่าพรุ่งนี้จะงดงามเหมือนเดิม,Hoffentlich ist es morgen auch genauso schön.,
หวังเป็นอย่างยิ่งว่ารถไฟจะมาถึงตรงเวลานะ,Hoffentlich kommt der Zug pünktlich an.,
พรุ่งนี้เธอเอาขนมปังก้อนมา<u>หน่อยนะ</u>,Holst du bitte morgen Brötchen?,- du<br>- fragen
รถบัสคันนี้หยุดที่ Marburg ไหม,Hält dieser Bus in Marburg?,
แขวนรูปไว้ที่ผนังให้หน่อย,Häng das Bild bitte an die Wand.,"- du, bitte"
ฉัน<u>ทำงานเป็น</u>คนขับรถและทุก ๆ สัปดาห์จะขนมันฝรั่งทอดไปที่นั่น(dh),Ich arbeite als Fahrer und bringe jede Woche Pommes dorthin.,
ฉันทำงานอย่างเร็ว เพราะการประชุม(M)จะเริ่มตอน 11 โมง,"Ich arbeite schnell, weil das Meeting um elf Uhr anfängt.",
ฉันจะอบขนมเค้กวันนี้　ฉันอยากได้แป้งหนึ่งกิโล แอปเปิลสามลูก อพริคอตสี่แล้วก็ไข่อีกหก,"Ich backe heute einen Kuchen. Ich brauche ein Kilo Mehl, drei Äpfen, vier Aprikosen und sechs Eier.",
ฉันได้รับของขวัญมากมายจากพี่น้องของฉันอยู่เสมอ,Ich bekomme von meinen Geschwistern immer viele Geschenke.,
ฉันใช้สบู่สีขาว,Ich benutze die weiße Seife.,
ฉันจ่ายค่าไวน์ ค่าอาหารเธอจ่าย,"Ich bezahle den Wein, das Essen bezahlst du.",
ฉันจ่ายค่าสอบ(!K),Ich bezahle für die Untersuchungen.,
ฉันมีอาชีพเป็นครู(ญ),Ich bin Lehrerin von Beruf.,
ฉันไปไปรษณีย์คนเดียว,Ich bin allein zur Post gegangen.,- perfekt<br>- บุพบท: z
ฉันกำลังพบแพทย์,Ich bin beim Arzt.,
"ฉันสูง 1,87 เมตรและมีผมสีน้ำตาล ยาวกว่านิดหน่อย","Ich bin ein Meter siebenundachtzig groß und habe braunes, etwas längeres Haar.",
ฉันเห็นด้วยกับความคิดเห็นของเธอทุกประการ,Ich bin ganz und gar deiner Meinung.,
ฉันไม่เห็นด้วยกับไวน์ในมื้อเช้า,Ich bin gegen Wein zum Frühstück.,
ฉันเหนื่อยพอ ๆ (g)กับเธอ,Ich bin genauso müde wie du.,
ฉันเพิ่งตื่นนอน　ฉันอาบน้ำเสร็จเมื่อ 5 นาทีที่แล้วและตัว<u>ยัง</u>ไม่แห้งเลย,Ich bin gerade aufgestanden. Ich habe vor fünf Minuten geduscht und bin noch nicht trocken.,
ฉันอยู่ที่ประเทศสวิสฯ,Ich bin in der Schweiz.,
ฉันเคยตื่น<b><i><u>เช้า</u></i></b>ทุก<b><i><u>วัน</u></i></b>,Ich bin jeden Tag früh aufgestanden.,- Perfekt
ฉันลืมกุญแจของฉันไว้ในบ้าน,Ich bin meinen Schlüssel im Haus vergessen.,- Perfekt
ฉันไม่แน่ใจว่าฉันควรบอกผู้ชายคนนั้นไหม,"Ich bin mir nicht sicher, ob ich dem Mann sagen soll.",
ฉัน<u>ไป</u>หาหมอมา<u>แล้ว</u>　เขาบอก ฉันเล่นกีฬามากเกินไปและดื่มกาแฟมากเกินไป,"Ich bin schon zum Arzt gegangen. Er hat gesagt, ich habe zu viel Sport getrieben und habe zu viel Kaffee getrunken.",- perfekt
ฉันภูมิใจในตัวเอง,Ich bin stolz auf mich.,
ฉันตื่นนอนตอนเจ็ดโมง<b><u>ครึ่ง</u></b> แล้วฉันก็ไปขี่จักรยาน,"Ich bin um halb acht aufgestanden, dann bin ich Rad gefahren.",perfekt
ฉันออก<b><i><u>จากบ้าน</u></i></b>ตอนเก้าโมง,Ich bin um neun Uhr von zu Hause weggefahren.,- perfekt<br>- ออกเดินทาง: wf
ฉันมาที่(k→n)เยอรมนีเมื่อสามปีก่อน,Ich bin vor drei Jahren nach Deutschland gekommen.,- perfekt
ฉันอยู่ถึงพรุ่งนี้,Ich bleibe bis morgen.,
ฉันต้องการชุดเดรสกลางคืนสำหรับงานแต่งงานของเพื่อน(ญ)ฉัน,Ich brauche ein Abendkleid für die Hochzeit von meiner Freundin.,
ฉันเอาจานชามมาใส่เครื่องล้างจาน,Ich bringe das Geschirr in die Spülmaschine.,
ฉันขอขอบคุณพวกเธอมาก,Ich danke euch sehr.,
ฉันกดออด แต่ก็ไม่มีใครมาเปิดให้,"Ich drücke auf die Klingel, aber keiner macht auf.",
ฉันจะเล่าเรื่องสั้น ๆ ให้เธอฟัง,Ich erzähle dir eine kleine Geschichte.,
ฉันไม่กินอะไรเลยตอนเย็น ส่วนเขากินแค่ของจุกจิกเล็กน้อย,Ich esse abends nichts und er isst nur eine Kleinigkeit.,
ฉันชอบกินไส้กรอกกับพิซซ่า,Ich esse gern Wurst und Pizza.,
ฉันไม่เคยกินข้าวตอนกลางวันเลย,Ich esse nie zu Mittag.,
ผมชอบขี่จักรยาน,Ich fahre gern Rad.,
ฉันนั่งรถบัสไป(f→z)มหาวิทยาลัย,Ich fahre mit dem Bus zur Universität.,
ฉันว่ามันอันตรายเกินไป ฉันไม่เห็นด้วย,"Ich finde das zu gefährlich, ich bin dagegen.",
ฉันว่าเสื้อเชิตผู้หญิงตัวนี้สวยที่สุด,Ich finde die Bluse am schönsten.,
ฉันไม่ได้บินไป(n)ประเทศเยอรมัน แต่ไปอังกฤษต่างหาก,"Ich fliege nicht nach Deutschland, sondern nach England.",
ฉันจะเอามัน(ก)ให้เธอวันพรุ่งนี้,Ich gebe es dir morgen.,
ฉันจะไป(g)โรงละครวันนี้ อยากไปไหม,"Ich gehe heute ins Theater, hast du Lust?",
ฉันเข้าไปในห้องของฉันและเปิดกระเป๋าเป้ของฉันออก,Ich gehe in mein Zimmer und mache meinen Rucksack auf.,
ฉันไปเดินเล่นกับ Michael,Ich gehe mit Michael spazieren.,
ฉัน<u><i><b>กลับ</b></i></u>(g→n)บ้านเร็วเพราะว่าฉันอยากจะออกไปข้างนอกวันนี้,"Ich gehe schnell nach Hause zurück, weil ich heute ausgehen möchte.",
ฉันไปนอนตอนห้าทุ่มสิบห้า,Ich gehe um Viertel nach elf schlafen.,- umgangssprachlich<br>- นอน: กริยา
ฉันเดินไปหา(z)ผู้ชายเหล่านั้น แล้วก็พูด(!s)กับพวกเขา,Ich gehe zu den Männern und rede mit ihnen.,
ฉันจะไปหาหมอก่อน แล้วก็จะมาบ้านของของเธอ และเราเข้า(f)เมืองไปด้วยกัน,"Ich gehe zuerst zum Arzt, dann komme ich zu dir, und wir fahren zusammen in die Stadt.",
ฉันจะไปดูแข่งฟุตบอล,Ich gehe zum Fußballspiel.,
ฉันเชื่อในตัวเธอ,Ich glaube an dich.,
ฉันคิดว่าฉันหนาว,"Ich glaube, mir ist kalt.",
ฉันเคยกลัว,Ich habe Angst gehabt.,- Perfekt
ฉันมีเอกสารทั้งหมดอยู่กับตัว,Ich habe alle Dokumente dabei.,
ฉันเคยทำงานเป็นพนักงานขาย(ญ),Ich habe als Verkäuferin gearbeitet.,
ฉันได้เข้าร่วมคณะทัวร์หนึ่ง,Ich habe an einer Gruppenreise teilgenommen.,- Perfekt
ฉันเจอกุญแจในกระเป๋าเสื้อแจ็กเก็ตของฉัน,Ich habe den Schlüssel in meiner Jackentasche gefunden.,- Perfekt
ฉันไม่เห็น(เจอ)เธอเลย,Ich habe dich nicht gesehen.,- perfekt
ฉันเต้นรำกับเขาทั้งคืน,Ich habe die ganze Nacht mit ihm getanzt.,- Perfekt
ฉันไม่ได้นอนทั้งคืนเลย,Ich habe die ganze Nacht nicht geschlafen.,- Perfekt
ฉันมีสีของตวงตาคล้ายกับแม่ของฉัน,Ich habe die gleiche Augenfarbe wie meine Mutter.,
ผมมีตำแหน่งงานที่บริษัท Bayer,Ich habe eine Stelle bei Bayer.,
ฉันได้สั่ง(จอง)ที่สำหรับสี่คนไว้แล้ว,Ich habe einen Platz für vier Personen bestellt.,Perfekt
ฉันได้รับนัดหมาย(สำหรับ)ตอนสามโมงสิบห้า,Ich habe einen Termin für Viertel nach drei bekommen.,- Perfekt
ฉันมีบางอย่างจะให้คุณ,Ich habe etwas für Sie.,Sie
อื่มแล้ว,Ich habe genug.,ไม่ใช่ satt
เมื่อวานฉันได้รู้จักกับผู้ชายที่วิเศษ(t)คนหนึ่ง　ฉันเจอกับเขาที่โรงอาหาร,Ich habe gestern einen tollen Mann kennengelernt. Ich habe ihn in der Kantine getroffen.,- Perfekt
ฉันไม่มีแก้ว　เธอยกดื่มจากขวดเลยได้ไหม,Ich habe kein Glas. Kannst du aus der Flasche trinken?,
ฉันไม่หิว,Ich habe keinen Hunger.,
ฉันคุยกับตำรวจ(พหู)นานและได้อธิบายสถานการณ์ให้ฟัง,Ich habe lange mit den Polizsten gesprochen und die Situation erklärt.,- Perfekt
ฉันไม่มีพจนานุกรม (น่าเสียดายจัง),Ich habe leider kein Wörterbuch.,
ฉันไม่ได้เจอ(!t)เพื่อน ๆ ของฉันมานาน,Ich habe meine Freunde lange nicht gesehen.,- Perfekt
ฉันไม่ได้ทำอะไรเลย,Ich habe nichts gemacht.,- Perfekt
ฉันมีเวลาน้อยเกินไป ฉันต้องทำงาน,Ich habe zu wenig Zeit. Ich muss arbeiten.,
ฉันเคยเรียนอยู่ที่มึนสเตอร์เป็นเวลาสองปี,Ich habe zwei Jahre in Münster studiert.,
ฉันมีวันหยุดพักร้อนสองเดือน,Ich habe zwei Monate Urlaub.,
ฉันได้ชวนเพื่อนสิบสองคนมางานวันเกิดของฉัน,Ich habe zwölf Freunde zu meinem Geburtstag eingeladen.,- Perfekt
ฉันถือมะเขือเทศลูกหนึ่ง,Ich halte eine Tomate.,
ฉันหยุดเขา(ญ),Ich halte sie an.,
ฉันประสบอุบัติเหตุก็เลยอยู่<sub>(sein→z)</sub>บ้านมาสามวันแล้ว,Ich hatte einen Unfall und war drei Tage zu Hause.,- Präteritum
ฉันมักจะทะเลาะกับพี่สาวคนโตของฉันอยู่บ่อย ๆ,Ich hatte oft Streit mit meiner großen Schwester.,- Präteritum
ผมไม่ได้ชื่อ Mayer แต่ชื่อ Schneider,"Ich heiße nicht Mayer, sondern Schneider.",
ฉันเอากุญแจออกมา,Ich hole den Schlüssel heraus.,
ฉันจะไปรับเธอตอนสี่ทุ่ม,Ich hole dich um zehn Uhr ab.,du / umgangsprachlich
ฉันได้ยินแต่เสียงเครื่องยนต์ของรถบรรทุกและรถราบนถนนชนบท,Ich höre nur den Motor des Lastwagens und die Autos auf der Landstraße.,
ฉันอ่านลายมือเธอไม่ออก,Ich kann deine Handschrift nicht lesen.,
ฉันให้พวกเธอยืมรถของฉันได้นะ,Ich kann euch mein Auto leihen.,
ฉันสามารถเล่นสกีได้<b><u><i>ดี</i></u></b> แต่ว่าที่นี่ไม่มีหิมะเลย　ไม่สามารถเล่นสกีได้,"Ich kann gut Ski fahren, aber es gibt hier keinen Schnee. Man kann nicht Ski fahren.",- ไม่สามารถเล่นได้: ไม่มีใครเล่นได้
ฉันสามารถอธิบายมัน(ช)ให้พวกคุณได้,Ich kann ihn Ihnen erklären.,- Sie
ฉันร้องเพลงไม่เป็น,Ich kann nicht singen.,
ฉันนอนได้ไม่ค่อยหลับ,Ich kann nicht so gut schlafen.,- können
ฉันกินอะไรได้ไม่ค่อยมาก,Ich kann nicht so viel essen.,
ฉันสามารถอ่านหนังสือได้โดยไม่ต้องใส่แว่นตา,Ich kann ohne Brille lesen.,
ฉันซื้อนาฬิกาอันแสนวิเศษ(w)เรือนหนึ่งและจ่ายเงินที่แคชเชียร์,Ich kaufe eine wunderbare Uhr und bezahle sie an der Kasse.,
พรุ่งนี้ช่วงเช้าฉันจะซื้อขนมปังก้อนกับครัวซองต์,Ich kaufe morgen früh Brötchen und Croissants.,- พหูพจน์<br>- เริ่มที่ ich
ฉันไม่ซื้อรองเท้าคู่นี้　อีกคู่สวยกว่า,Ich kaufe nicht diese Schuhe. Die anderen sind schöner.,
ฉันรู้จักเขาผ่านเพื่อนคนหนึ่ง,Ich kenne ihn durch einen Freund.,
ฉันไม่รู้จักใครเลยในงานเลี้ยง,Ich kenne niemanden auf der Party.,
ฉันไม่รู้จักใครเลยในเยอรมนี,Ich kenne niemanden in Deutschland.,
ฉันเป็นคนทำอาหาร เพราะงี้กับข้าวก็เลยแย่,"Ich koche, somit ist das Essen schlecht.",
ฉันเพิ่งมาจากคลินิกทันตแพทย์,Ich komme gerade vom Zahnarzt.,Präsent
ฉัน<b><i><u>ส่วนใหญ่มักจะ</u></i></b>มาสำนักงาน<b><i><u>ประมาณ</u></i></b>แปดโมงและเปิด(es)คอมพิวเตอร์ก่อนเป็นอันดับแรก,Ich komme meistens gegen acht Uhr ins Büro und schalte erst einmal den Computer ein.,
ฉันจะมาถึงพรุ่งนี้ตอน 21:34 น. ที่สถานีรถไฟ　เธอมารับไหม,Ich komme morgen um einundzwanzig Uhr vierunddreißig am Bahnhof an. Holst du mich bitte ab?,offiziel
ฉันชวนเธอมางานวันเกิดของฉัน,Ich lade dich zu meinem Geburtstag ein.,
ฉันอ่านหนังสือ เล่นอินเทอร์เน็ตและบางครั้งก็คุยโทรศัพท์กับเพื่อน(ญ)<u>คนหนึ่ง</u>　แล้วฉันก็เข้านอนตอน<u>ประมาณ</u> 23:00 น.,"Ich lese, surfe im Internet und rufe manchmal eine Freundin an. Ich gehe dann gegen dreiundzwanzig Uhr ins Bett.",offiziel
ฉันเปิดวิทยุ,Ich mache das Radio an.,- Trennbare Verben
ฉันปิดวิทยุ,Ich mache das Radio aus.,- Trennbare Verb
ฉันเปิดประตู,Ich mache die Tür auf.,- Trennbare Verb
ฉันปิดประตู,Ich mache die Tür zu.,- Trennbare Verben
ฉันชอบเดือนธันวาคม,Ich mag den Dezember.,
ฉันชอบเขามาก　ดังนั้นฉันจึงอยากซื้อของขวัญที่ดี(สวยงาม)ให้กับเขา,Ich mag ihn sehr. Deshalb möchte ich ihm ein schönes Geschenk kaufen.,
ฉันชอบผักทุก(!a)อย่างยกเว้นมะเขือเทศ,Ich mag jedes Gemüse außer Tomaten.,
ฉันไม่ชอบหมวกเหล่านี้เลยสักใบ,Ich mag keinen dieser Hüte.,
ผมต้องไปแล้วตอนนี้ มันสาย<u>แล้ว</u>,Ich muss jetzt gehen. Es ist schon spät.,
ฉันต้องกลับบ้านแล้ว<u>ตอนนี้</u>,Ich muss jetzt nach Hause gehen.,"- ไป: g, ยัง: n"
ฉันต้องไปซ่อนตัว,Ich muss mich verstecken.,
ฉันต้องไปซื้อของก่อน,Ich muss zuerst einkaufen gehen.,
ฉันต้องไป(f/z)มหาวิทยาลัยก่อน,Ich muss zuerst zur Universität fahren.,
ฉันไม่เคยต้องช่วยงานบ้านและสามารถกินไอติมมากเท่าไหร่ก็ได้,"Ich musste nie im Haushalt helfen und durfte so viel Eis essen, wie ich wollte.",Präteritum
ฉันอยากจะรู้จักคุณมานาน<u>แล้ว</u>,Ich möchte Sie schon lange kennenlernen.,Sie
ฉันก็อยากกินซูชิกับพวกเธอ,Ich möchte auch mit euch Sushi essen.,
ฉันขอไส้กรอกแกงกะหรี่หนึ่งกับน้ำแร่หนึ่ง,Ich möchte bitte eine Currywurst und ein Mineralwasser.,bitte
ฉันอยากไปร้านอาหารมากกว่า,Ich möchte lieber ins Restaurant gehen.,
ฉันอยากไปโรงภาพยนตร์<b><i><u>วันพรุ่งนี้</u></i></b> เพราะว่ามีหนังที่ดี(g)เรื่องหนึ่งกำลังฉายอยู่,"Ich möchte morgen ins Kino gehen, denn da läuft ein guter Film.",- เพราะว่า: denn
ฉันไม่อยากพูดเกี่ยวกับสภาพอากาศ,Ich möchte nicht über das Wetter sprechen.,
ฉันเข้าร่วมงานสัมมนาสองแห่ง,Ich nehme an zwei Seminaren teil.,
ฉันขึ้นรถเมล์คันถัดไป,Ich nehme den nächsten Bus.,
ฉันบอกผู้ชายคนนั้นว่าฉันต้องไปเอามือถือของฉัน<b><i><u>ก่อน</u></i></b>,"Ich sage dem Mann, dass ich zuerst noch mein Handy holen muss.",
ฉันเปิด(es)วิทยุ ตอนนี้มันเปิดอยู่,Ich schalte das Radio ein. Jetzt ist es an.,
ฉันเขียนหนังสือเล่มนี้เพื่อเธอโดยเฉพาะ,Ich schreibe dieses Buch extra für dich.,
ฉันเขียนจดหมาย(ฉบับหนึ่ง)ให้พ่อแม่ของฉัน,Ich schreibe meinen Eltern einen Brief.,
ฉันเจอ(!t)เขาบ้างเป็นบางครั้ง(!m),Ich sehe ihn ab und zu.,
ฉันเจอเขา(ญ)ไม่ค่อยบ่อย,Ich sehe sie selten.,
ฉันพูดภาษาอิตาลีกับอังกฤษ,Ich spreche Italienisch und Englisch.,
ฉันไม่พูดภาษาเยอรมัน,Ich spreche kein Deutsch.,
ฉันตื่นนอนส่วนมากตอนแปดโมง,Ich stehe meistens um acht auf.,
ฉันตื่นนอนตอนเจ็ดโมง　แล้วก็ทำ(m)อาหารเช้า,Ich stehe um sieben Uhr auf. Dann mache ich Frühstück.,offiziell
ฉันขึ้นรถไฟ,Ich steige in den Zug ein.,
ฉันวางขวดไว้บนโต๊ะ,Ich stelle die Flasche auf den Tisch.,
ฉันกำลังหา(ซื้อ)ชุดเดรสหรือไม่ก็กระโปรงอยู่,Ich suche ein Kleid oder einen Rock.,
ฉันแทบจะไม่ดื่มชา,Ich trinke kaum Tee.,
ฉันฝันถึงม้า,Ich träume von dem Pferd.,
ฉันเป็นห่วงมากเลย (อดีต),Ich war sehr besorgt.,- Präteritum
ฉันเพลียมาก ๆ ก็เลยนอนอยู่แต่บนเตียง　แต่วันนี้แข็งแรงเหมือนเดิมแล้ว,Ich war so müde und blieb nur im Bett. Aber heute bin ich wieder gesund.,- Präteritum &amp; Präsent
ฉันไม่รู้ เราน่า(m)จะถามใครสักคนนะ,Ich weiß nicht. Wir müssen jemanden fragen.,
ฉันไม่รู้อะไรเลยเกี่ยวกับอดีตของเขา,Ich weiß nichts über seine Vergangenheit.,
ฉันตื่นนอน(!as)แล้วก็อาบน้ำ　หลังจากนั้นฉันก็ไปทานอาหารเช้า(ก.)อย่างสงบ,Ich werde wach und dusche. Danach gehe ich in Ruhe frühstücken.,
ฉันไม่อยากสูญเสียเธอไป,Ich will dich nicht verlieren.,
ฉันไม่อยากกินยา<sub>(พหู)</sub>,Ich will keine Tabletten nehmen.,- ยา (t)<br>- อยาก (ปราถนา w)
ฉันอาศัยอยู่ในเมือง(D)เล็ก ๆ แห่งหนึ่ง　ตอนวันเสาร์อาทิตย์<b><i><u>ที่นี่</u></i></b>ไม่มีอะไรทำเลย,Ich wohne in einem kleinen Dorf. Am Wochenende ist hier nichts los.,
ฉันเคยอยากเป็นนักข่าว(ญ) แต่ด้วยความเห็นของพ่อฉันแล้วฉันควรเป็นเภสัชกร(ญ),"Ich wollte Journalistin werden, aber nach Meinung meines Vaters sollte ich Apothekerin werden.",
ฉันอยากไปเที่ยวทุกสถานที่ท่องเที่ยวในและรอบ ๆ ปารีสมาก ๆ แต่ฉันทำมันไม่ได้ เพราะว่ามีเวลาไม่พอ,"Ich wollte gern alle Sehenswürdigkeiten in und um Paris besichtigen, aber das konnte ich nicht, weil ich nicht genug Zeit hatte.",Präteritum
ฉันถอดเสื้อแล้วก็นอนลงบนเตียง　ฉันปิดไฟแล้วก็หลับ,Ich ziehe mich aus und liege mich ins Bett. Ich mache das Licht aus und schlafe.,
ฉันเปิดกล่องจดหมายของฉันและตอบอีเมล(พหู)ของฉัน,Ich öffne meine Mailbox und beantworte meine E-Mails.,
ฉันกำลังคิดเกี่ยวกับของขวัญที่จะเอาให้ Eva,Ich überlege mir ein Geschenk für Eva.,
ฉันรับช่วงต่อโรงซ่อมรถของคุณปู่ของฉัน,Ich übernehme die Werkstatt von meinem Großvater.,
พวกเธอทั้งสองยืนอยู่ใกล้กันมาก,Ihr beide steht euch sehr nahe.,
พวกเธอควรจะเก็บกวาดห้องของตัวเองด้วยบ้างนะ,Ihr sollt auch eure Zimmer aufräumen.,
พวกเธอเข้าใจฉันดีเสมอ,Ihr versteht mich immer gut.,
อาการปวดของคุณ<sub>(Sie)</sub>อาจรุนแรง<sub>(อันตราย)</sub>ขึ้นได้,Ihre Schmerzen können gefährlich sein.,
