valencià,tailandés,Add Reverse
llest,ฉลาด,y
llevar-se,ลุก (ตื่น) (ll),y
llis,(ผม) ตรง,y
lliure,ว่าง,y
llogar,ให้เช่า,y
lluminós,สว่าง มีแสงมาก,y
lluny,ไกล,y
l'oració,โฮมรูม การปราศรัย,y
Luxemburg,ประเทศลักเซมเบิร์ก,y
mai,ไม่เลย ไม่เคย,y
malgrat això,แม้อย่างนั้น,y
mandrós,ขี้เกียจ,y
marró,สีน้ำตาล,y
massa,มากเกินไป / เกินไป,y
(m.) el jugador,นักเล่นกีฬาผู้ชาย (j),y
mentider,ชอบโกหก,y
menut,เล็ก (m),y
Mèxic,ประเทศเม็กซิโก,y
(m.) l'abric,เสื้อโค้ต เสื้อคลุม,y
(m.) l'abril,เมษายน,y
(m.) l'actor,นักแสดงผู้ชาย,y
(m.) l'advocat,ทนายความผู้ชาย,y
(m.) l'agost,สิงหาคม,y
(m.) l'agricultor,เกษตรกรผู้ชาย,y
(m.) l'aire condicionat,เครื่องปรับอากาศ,y
(m.) l'ajuntament,ที่ว่าการเมือง,y
(m.) l'alcalde,นายกเทศมนตรีผู้ชาย,y
(m.) l'alemany,ภาษาเยอรมัน / คนเยอรมัน (ช),y
(m.) l'all porro,กระเทียมต้น,y
(m.) l'àmbit,สายงาน,y
(m.) l'amic,เพื่อน (ผู้ชาย),y
(m.) l'ànec,เป็ด,y
(m.) l'angle,มุม หัวมุม (a),y
(m.) l'anglés,ภาษาอังกฤษ / คนอังกฤษ (ช),y
(m.) l'anglés,ภาษาอังกฤษ / คนอังกฤษ (ช),y
(m.) l'aniversari,วันเกิด,y
(m.) l'aparell,อุปกรณ์,y
(m) l'arbre,ต้นไม้,y
(m.) l'arc de Sant Martí,รุ้งกินน้ำ,y
(m.) l'armari,ตู้เสื้อผ้า,y
(m.) l'arquitect,สถาปนิก,y
(m.) l'arròs,ข้าว,y
(m.) l'as,ลา (สัตว์ !r),y
(m.) l'assecador,ไดร์เป่าผม,y
(m.) l'atleta,นักกีฬา (a),y
(m.) l'autobús,รถประจำทาง,y
(m.) l'avi,ปู่ ตา (a),y
(m.) l'avió,เครื่องบิน,y
(m.) l'elefant,ช้าง,y
(m.) l'embotit,อาหารตระกูลไส้กรอก,y
(m.) l'empresari,พนักงานบริษัท,y
(m.) l'encreuament,ทางแยก,y
(m.) l'equip,ทีม,y
(m.) l'escalfor,ความร้อน (ร่างกาย),y
(m.) l'escriptor,นักเขียนผู้ชาย,y
(m.) l'escriptori,โต๊ะเขียนหนังสือ,y
(m.) l'escritori,โต๊ะเขียนหนังสือ (ES: el escritorio),y
(m.) l'espàrrec,หน่อไม้ฝรั่ง,y
(m.) l'espill,กระจก (e),y
(m.) l'espòs,สามี (e),y
(m.) l'estadi,สเตเดียม,y
(m.) l'estel,ดวงดาว,y
(m.) l'estiu,ฤดูร้อน,y
(m.) l'estómac,ท้อง,y
(m.) l'estòmac,ท้อง,y
(m.) l'èxit,ความสำเร็จ,y
(m.) l'hivern,ฤดูหนาว,y
(m.) l'home,ผู้ชาย,y
(m.) l'hort,สวนผักผลไม้ในบ้าน,y
(m.) l'ioga,โยคะ,y
(m.) l'obrer,คนงานผู้ชาย,y
(m.) l'ocell,นก,y
(m.) l'octubre,ตุลาคม,y
(m.) l'oli,น้ำมัน (ทำอาหาร),y
(m.) l'oncle,ลุง น้าอาผู้ชาย,y
(m.) l'oratge,สภาพอากาศ,y
(m.) l'ordinador,คอมพิวเตอร์,y
(m.) l'os,กระดูก,y
(m.) l'ull,ดวงตา,y
morat,สีม่วงเข้ม,y
morir,ตาย เสียชีวิต,y
Morroc,ประเทศโมรอกโก,y
moure,เคลื่อนไหว เคลื่อนที่,y
mullat,เปียก (m),y
muntar,ขี่ (m),y
nàixer,เกิด,y
necessitar,ต้องการ,y
negre,สีดำ,y
nerviós,ประหม่า,y
net,สะอาด,y
netejar,ทำความสะอาด,y
nevar,(หิมะ)ตก,y
ningú,ไม่มีใครเลย,y
no gaire,ไม่เยอะมาก,y
només,แค่ เพียง,y
noruega,เกี่ยวกับนอร์เวย์ (ญ),y
omplir,ทำให้เต็ม,y
on,ที่ไหน,y
optimist,มองโลกในแง่บวก,y
pacient,อดทน (คุณศัพท์),y
parar la taula,จัดโต๊ะ,y
parlar,พูด,y
passejar,เดินเล่น,y
pedregar,(ลูกเห็บ)ตก,y
pel que fa a,ในส่วนของ… ทางด้านของ…,y
pentinar-se,หวีผม (คำกริยา),y
pesar,ชั่งน้ำหนัก,y
pessimist,มองโลกในแง่ลบ,y
petit,เล็ก (p),y
ple,เต็ม,y
plorar,ร้องไห้,y
ploure,(ฝน)ตก,y
ploure a bots i barrals,ฝนตกหนักมาก (สำนวน),y
plujós,ที่มีฝนตก,y
polonesa,เกี่ยวกับโปแลนด์ (ญ),y
pondre-se,(ดวงอาทิตย์/ดวงจันทร์) ตก,y
portuguesa,เกี่ยวกับโปรตุเกส (ญ),y
posar-se,สวมใส่,y
potser,อาจจะ เป็นไปได้ บางที (p),y
prendre,ดื่ม เอา,y
prendre apunts,จดบันทึก,y
prim,ผอม,y
primer,ที่หนึ่ง,y
proper,ถัดไป,y
pujar,ขึ้น,y
puntual,ตรงต่อเวลา,y
quart,ที่สี่,y
quasi,เกือบ,y
qui,ใคร,y
raspallar,แปรง ถู (คำกริยา rp),y
rebre,รับ ได้รับ,y
regatejar,ต่อรองราคา,y
relaxar-se,พักผ่อน,y
rentar,แปรง ขัด (คำกริยา rt),y
rentar-se les dents,แปรงฟัน,y
República Checa,สาธารณรัฐเช็ก,y
riure,หัวเราะ,y
roig,สีแดง (!v),y
ros,(ผม) สีทอง บลอนด์,y
rosa,สีชมพู,y
russa,เกี่ยวกับรัสเซีย (ญ),y
Rússia,ประเทศรัสเซีย,y
saber,รู้,y
sec,แห้ง,y
segon,ที่สอง,y
sentir,รู้สึก ได้ยิน ขอโทษ,y
senyor,คุณผู้ชาย,y
senyora,คุณนายผู้หญิง,y
senyoreta,คุณผู้หญิง(สาว),y
ser,เป็น คือ,y
sincer,จริงใจ,y
sobre,เหนือ ด้านบน (s),y
somriure,ยิ้ม,y
sopar,รับประทานอาหารเย็น,y
sota,ด้านล่าง ด้านใต้ (s),y
sovint,บ่อย ๆ,y
sueca,เกี่ยวกับสวีเดน (ญ),y
Suècia,ประเทศสวีเดน,y
sumar,บวก รวม,y
tailandesa,เกี่ยวกับไทย (ญ),y
Tailàndia,ประเทศไทย,y
tallar,ตัด,y
tant de bo,ขอให้… (es: ojalá),y
taronja,สีส้ม,y
tercer,ที่สาม,y
tindre,มี,y
tothom,ทุกคน,y
tot i que,แม้ว่า,y
tranquil,สงบ,y
traure el fem,เอาขยะไปทิ้ง,y
treballador,ขยันทำงาน ชอบทำงาน,y
treballar,ทำงาน,y
trencar,ทำลาย,y
triar,เลือก,y
trist,เศร้า,y
trobar,พบ เจอ,y
trobar a faltar,คิดถึง,y
Tunisia,ประเทศตูนิเซีย,y
turca,เกี่ยวกับตุรกี (ญ),y
un fum,เยอะมาก (un montón),y
Uruguai,ประเทศอุรุกวัย,y
valenciana,เกี่ยวกับวาเลนเซีย (ญ),y
v. dur,สวมใส่ (แว่นตา…) / มี (หนวด…) / (es: llevar),y
vell,เก่า แก่,y
vendre,ขาย,y
Veneçuela,ประเทศเวเนซุเอลา,y
verd,สีเขียว,y
vermell,สีแดง (!r),y
vestir-se,แต่งตัว,y
veure/vore,ดู,y
viatjar,ท่องเที่ยว (กริยา),y
vindre,มา,y
viure,อาศัย มีชีวิต,y
xerraire,ช่างพูด,y
xicotet,เล็ก (x),y
Xina,ประเทศจีน,y
xinesa,เกี่ยวกับจีน (ญ),y
