日本語,日本語の読み方,タイ語,Add Reverse
我田引水,がでんいんすい,（四字熟語） เอาแต่ประโยชน์ของตัวเองเป็นหลัก,y
戒める,いましめる,ห้ามปราม ตักเตือน ตำหนิ ว่ากล่าวสั่งสอน,
戦略,せんりゃく,กลยุทธ์ ยุทธศาสตร์,y
所得税,しょとくぜい,ภาษีเงินได้,y
所詮,しょせん,ผลสุดท้าย ในที่สุด ท้ายที่สุด,y
手の甲,てのこう,หลังมือ,y
手品,てじな,มายากล การเล่นกล,y
手品師,てじなし,นักมายากล (คำญี่ปุ่น),y
手当て,てあて,เบี้ยเลี้ยง เงินช่วยเหลือ,
手探り,てさぐり,การคลำหา การใช้มือควานหา,y
手枷足枷,てかせあしかせ,การพันธนาการ การจำกัดอิสรภาพ,y
手段,しゅだん,วิธี หนทาง,y
手織り,ており,ผ้าทอมือ การทอผ้าด้วยมือ,y
手裏剣,しゅりけん,ดาวกระจาย,y
手錠,てじょう,กุญแจมือ,y
手頃,てごろ,กำลังดี พอเหมาะ สมน้ำสมเนื้อ,y
把握,はあく,การจับจนแน่น การเข้าใจเป็นอย่างดี,
抑制,よくせい,การควบคุมให้อยู่ในขอบเขต,y
投資家,とうしか,นักลงทุน,y
抗う,あらがう,ต่อต้าน แข็งขืน,
抱負,ほうふ,ความตั้งใจที่จะทำ ความคาดหวัง เป้าหมาย (เช่น ปีใหม่),y
抵抗器,ていこうき,ตัวต้านทาน,y
抽象,ちゅうしょう,นามธรรม,y
担う,になう,แบก ขน รับภาระ,
担保,たんぽ,การจำนอง การค้ำประกันในการชำระหนี้,y
担架,たんか,เปลสนาม,y
拒む,こばむ,ปฏิเสธ (!断),y
拙者,せっしゃ,ฉัน,
拙著,せっちょ,หนังสือของฉัน ผลงานของฉัน,y
拝む,おがむ,ไหว้ รับชม (รูปถ่อมตัวของ 見る),y
拡張子,かくちょうし,นามสกุลไฟล์,y
拳,こぶし,กำปั้น,y
拾得,しゅうとく,การเก็บของได้ การหาเจอของที่คนทำหาย,y
持久力,じきゅうりょく,อึด ทรหด สมาธิ,
挑発,ちょうはつ,ยั่วยุ ยั่วยวน (漢字),y
挫ける,くじける,ยอมแพ้ ตัดใจ อ่อนกำลังลง อ่อนแรง (!お),y
振る舞う,ふるまう,กระทำ ประพฤติ เลี้ยงต้อนรับ,
振幅,しんぷく,แอมพลิจูดคลื่น,y
捕捉,ほそく,การจับ(ศัตรู) การจับ(ความหมาย),y
捕虜,ほりょ,เชลย,y
捻挫,ねんざ,ข้อพลิก / แพลง,y
掃く,はく,กวาด,y
授与,じゅよ,มอบให้,
掌,てのひら,ฝ่ามือ อุ้งมือ,y
排他的論理和,はいたてきろんりわ,XOR,y
採決,さいけつ,การลงคะแนนตัดสิน,y
採算,さいさん,ผลกำไร ผลประโยชน์,y
控訴,こうそ,การยื่นอุธรณ์,y
推奨,すいしょう,การแนะนำ การสนับสนุน การเชิดชู,
推移,すいい,การเปลี่ยนผัน การเปลี่ยนแปลงตามเวลา,y
推進,すいしん,การขับเคลื่อน การสนับสนุน การส่งเสริม,y
措置,そち,การจัดการ,y
掲載,けいさい,ตีพิมพ์,y
揉み消す,もみけす,ปิดข่าว,y
提示,ていじ,การนำออกมาแสดง การยื่นเอกสาร,
揺り籠,ゆりかご,เปล,y
損なう,そこなう,ทำเสียหาย,y
携える,たずさえる,ถือ พาไปด้วย,
摂取,せっしゅ,การรับเข้า,
摂氏,せっし,องศาเซลเซียส,y
撥音,はつおん,เสียง ん,y
操る,あやつる,ควบคุม เชิด บังคับ,y
擦り付ける,なすりつける,โทษ โยนความผิด ป้ายความผิด,y
支配下,しはいか,อยู่ภายใต้อาณานิคม,
改革,かいかく,ปฏิรูป,y
攻勢,こうせい,การโจมตี การรุกราน,
放射能汚染,ほうしゃのうおせん,การปนเปื้อนสารกัมมันตรังสี,y
政府官邸,せいふかんてい,ทำเนียบรัฐบาล,y
故人,こじん,ผู้วายชนม์,y
救世主,きゅうせいしゅ,ผู้กอบกู้โลก พระผู้ช่วย,y
救済,きゅうさい,การปลดเปลื้อง(หนี้) การบรรเทาทุกข์,y
救護班,きゅうごはん,หน่วยพยาบาล,y
教師あり学習,きょうしありがくしゅう,(en: supervised learning),y
教師なし学習,きょうしなしがくしゅう,(en: unsupervised learning),y
教徒,きょうと,ศาสนิกชน,y
敬う,うやまう,เคารพนับถือ (!と),
数珠,じゅず,ลูกประคำ,y
整える,ととのえる,จัดเตรียม จัดแจงให้เรียบร้อย,
整数,せいすう,จำนวนเต็ม,y
文字列,もじれつ,สตริง (คอมพิวเตอร์),y
文献,ぶんけん,เอกสาร หนังสือ,
文脈,ぶんみゃく,บริบท,y
斬首,ざんしゅ,การตัดหัว การตัดคอ,y
断崖絶壁,だんがいぜっぺき,หน้าผาสูงชัน,y
新疆,しんきょう,ซินเจียง,y
方位磁針,ほういじしん,เข็มทิศ,y
方針,ほうしん,นโยบาย เป้าหมาย,
昇順,しょうじゅん,เรียงจากน้อยไปมาก,y
明朗快活,めいろうかいかつ,（四字熟語） ร่าเริงแจ่มใส,y
時々刻々,じじこっこく,（四字熟語） ทุกเวลา ทุกขณะ,y
時報,じほう,การเทียบเวลา,y
晒す,さらす,แฉ,y
晩婚,ばんこん,การแต่งงานช้า,y
晩年,ばんねん,บั้นปลายชีวิต,y
晩節,ばんせつ,ช่วงหลัง ช่วงบั้นปลาย,
普及,ふきゅう,การเผยแพร่ การแพร่หลาย,
景気,けいき,สภาพเศรษฐกิจ,y
晴耕雨読,せいこううどく,(四字熟語) ทำงานในไร่วันแดดออก อ่านหนังสืออยู่บ้านวันฝนตก,y
暖炉,だんろ,เตาผิง,y
暗号化,あんごうか,การเข้ารหัส,y
暗唱,あんしょう,ท่องจากความจำ,y
暗黙,あんもく,โดยปริยาย,y
暴露,ばくろ,แฉ เปิดโปง,y
更迭,こうてつ,การย้ายตำแหน่งไปช่วยราชการ,y
書留,かきとめ,จดหมายแบบลงทะเบียน,y
有益,ゆうえき,เป็นประโยชน์,
朗読,ろうどく,การอ่านออกเสียง,y
朝三暮四,ちょうさんぼし,（四字熟語） การหลอกลวงผู้อื่น การยิบย่อยในเรื่องที่มันก็เหมือน ๆ กัน,y
朝令暮改,ちょうれいぼかい,（四字熟語） เช้าอย่างเย็นอย่าง กลับคำอยู่บ่อย ๆ,y
朝飯前,あさめしまえ,เรื่องเล็กน้อย เรื่องง่าย ๆ กล้วย ๆ,y
木綿,もめん,ฝ้าย นุ่น,y
未熟,みじゅく,ยังไม่ชำนาญ ประสบการณ์น้อย ดิบ,y
本家本元,ほんけほんもと,（四字熟語） ต้นตำรับแรกสุด,y
朽ちる,くちる,เน่า ผุพัง เสื่อมสลาย,y
朽ち葉,くちば,ใบไม้แห้ง,y
杖,つえ,ไม้เท้า,y
杜撰,ずさん,ชุ่ย มักง่าย,y
束縛,そくばく,การจำกัดการกระทำ การควบคุมการกระทำ,
果敢,かかん,กล้าหาญ,
果樹園,かじゅえん,สวนผลไม้,y
枠組み,わくぐみ,กรอบ ขอบข่ายงาน,y
枢密,すうみつ,องคมนตรี,y
枷,かせ,ตรวน เครื่องพันธนาการ,y
柔術,じゅうじゅつ,ศิลปะการป้องกันตัว,Y
柵,さく,รั้วไม้ รั้วล้อม,y
核心,かくしん,แก่น ใจกลาง เมล็ด,y
根底,こんてい,รากเหง้า รากฐาน ต้นกำเนิด,y
根拠,こんきょ,มูลความจริง,y
格納,かくのう,การเก็บไว้ในโรงเก็บ การเก็บไว้ในหน่วยความจำของคอมพิวเตอร์,y
栽培,さいばい,การเพาะปลูกพืช,y
案山子,かかし,หุ่นไล่กา,y
桑,くわ,หม่อน,y
棄権,きけん,สละสิทธิ์,y
植樹,しょくじゅ,การปลูกต้นไม้,y
検察官,けんさつかん,อัยการ,y
検死,けんし,ชันสูตร (ทั่วไป อาจจะไม่ผ่า),y
検疫,けんえき,การกักกันเพื่อป้องกันโรคติดต่อ,y
検討,けんとう,การพิจารณา,y
楔形文字,くさびがたもじ,อักษรลิ่ม,y
業績,ぎょうせき,ผลประกอบการ,y
極まる,きわまる,ถึงที่สุด สิ้นสุด ถึงทางตัน,y
極楽浄土,ごくらくじょうど,แดนสุขาวดี,y
概念,がいねん,แนวความคิด,y
槍（やり）,,หอก,y
標本,ひょうほん,กลุ่มตัวอย่าง (สถิติ),y
標識,ひょうしき,เครื่องหมาย ป้าย สัญญาณ,y
模写,もしゃ,คัดลอก ลอกแบบ,y
模型,もけい,โมเดลจำลอง,
樹木,じゅもく,ต้นไม้（漢字）,y
欠陥,けっかん,ข้อบกพร่อง ตำหนิ จุดด่างพร้อย,y
欧州連合,おうしゅうれんごう,สหภาพยุโรป,y
欲張り,よくばり,ความโลภ,y
欺く,あざむく,หลอกลวง (訓読み),y
正視,せいし,การมองตรง การเผชิญหน้า,
正規品,せいきひん,สินค้าของแท้ ถูกลิขสิทธิ์,y
武将,ぶしょう,นายพล ผู้บัญชาการทหาร,y
歯に衣着せぬ,はにきぬきせぬ,พูดจาขวานผ่าซาก (歯),y
歯茎,はぐき,เหงือก,y
段取り,だんどり,แผนการดำเนินงาน ขั้นตอน,
母集団,ぼしゅうだん,ประชากร (สถิติ),y
比例,ひれい,แปรผันตรง,y
気晴らし,きばらし,การทำจิตใจให้สดชื่น การหาความบันเทิง,y
気絶する,きぜつする,เป็นลม สลบ,
水平,すいへい,เส้นแนวนอน,y
水素,すいそ,ไฮโดรเจน,y
汎用,はんよう,การใช้ได้หลากหลาย เอนกประสงค์,y
汗ばむ,あせばむ,เหงื่อไหล,y
沈黙,ちんもく,การนิ่งเงียบ,y
河口,かこう,ปากแม่น้ำ,y
治外法権,ちがいほうけん,สิทธิสภาพนอกอนาเขต,y
沿う,そう,แล่น เลียบไปตาม ทำตาม,y
沿道,えんどう,ข้างทาง สองฟากทาง,y
法廷,ほうてい,ห้องพิจารณาคดี,y
波括弧,なみかっこ,วงเล็บปีกกา,y
泥酔,でいすい,เมาหัวราน้ำ,y
注釈,ちゅうしゃく,การอธิบายประกอบ คำอธิบายเพิ่มเติม เชิงอรรถ,y
洋裁,ようさい,การตัดเย็บเสื้อผ้าแบบตะวันตก,y
洗練する,せんれんする,ขัดเกลา,y
活かす,いかす,ปล่อยให้มีอยู่ ใช้ให้เป็นประโยชน์,y
派遣,はけん,การส่งไปประจำ,y
浪費,ろうひ,ใช้อย่างสิ้นเปลือง,y
浮動小数点数,ふどうしょうすうてんすう,ระบบทศนิยมในคอมพิวเตอร์ (floating point),y
海王星,かいおうせい,ดาวเนปจูน,y
浸水,しんすい,น้ำท่วมขัง (!か行),y
浸透,しんとう,ซึมซาบ,
消極的,しょうきょくてき,ไม่คล่องแคล่ว ไม่กระตือรือร้น ไม่เป็นฝ่ายรุกหรือเข้าหา,y
渇望,かつぼう,ความปรารถนาอย่างยิ่ง การอยากได้มาก,y
減衰,げんすい,การลดทอน การหน่วง การอ่อนกำลัง,
渦中,かちゅう,ในวังวน การเข้าไปพัวพันกับปัญหาหรือความยุ่งยาก,y
温情,おんじょう,ความมีน้ำใจ,
溶接,ようせつ,การเชื่อมโลหะ,y
滅ぶ,ほろぶ,ล่มสลาย พินาศ (訓読み),y
滑稽,こっけい,ตลก,
漂う,ただよう,ล่องลอย ท่องไปอย่างไร้จุดหมาย,y
演算子,えんざんし,ตัวดำเนินการทางคณิตศาสตร์,y
潜む,ひそむ,ซุ่มซ่อน หลบ,
潜在,せんざい,การหลบอยู่ภายใน ด้านใต้ อยู่ในจิตใต้สำนึก,
激励,げきれい,การให้กำลังใจ,y
濁る,にごる,ขุ่น เสียงขุ่น (กริยา),y
瀕死状態,ひんしじょうたい,สภาวะใกล้ตาย,y
瀬戸際,せとぎわ,ภาวะวิกฤต ตัวชี้ชะตา หัวเลี้ยวหัวต่อ,y
灯台,とうだい,ประภาคาร,y
炎天下,えんてんか,กลางแจ้งในวันที่แดดจัด,y
点呼,てんこ,การขานชื่อทีละคน,y
点検,てんけん,ตรวจตราทีละจุด ตรวจอย่างละเอียด<br>,y
為政者,いせいしゃ,ผู้ปกครองบ้านเมือง,
無我夢中,むがむちゅう,ทำอย่างไม่คิดชีวิต หมกมุ่นในสิ่งหนึ่งโดยไม่รู้ตัว (四字熟語),y
無線呼び出し,むせんよびだし,เพจเจอร์ (和語),y
無謀,むぼう,สะเพร่า ไม่รู้จักคิด ไม่รู้จักไตร่ตรองให้รอบคอบ (漢字),y
焦らす,じらす,แหย่ ทำให้ฉุนเฉียว,y
照合,しょうごう,การเปรียบเทียบ การตรวจเทียบ,
煩わしい,わずらわしい,ยุ่งยาก น่ารำคาญ,
蒸発,じょうはつ,การระเหย,y
熱心,ねっしん,ความกระตือรือร้น,
熱意,ねつい,ความปรารถนา ความกระตือรือร้น,
熾烈,しれつ,รุนแรง ดุเดือด,
燦然,さんぜん,สุกใส เป็นประกาย รุ่งโรจน์,
爬虫類,はちゅうるい,สัตว์เลื้อยคลาน,y
物差し,ものさし,ไม้บรรทัด,y
物質,ぶっしつ,สาร วัสดุ (ฟิสิกส์),y
狂牛病,きょうぎゅうびょう,โรควัวบ้า,y
狛犬,こまいぬ,รูปปั้นสุนัขเฝ้าประตู,y
独り占め,ひとりじめ,เอกสิทธิ์ ผูกขาด,y
独断専行,どくだんせんこう,（四字熟語） ทำตามที่ใจคิด ลุยเดี่ยว,y
独楽,こま,ลูกข่าง,y
独立自尊,どくりつじそん,（四字熟語） พึ่งพาตนเอง ก้าวหน้าด้วยตนเองและชื่นชมตนเอง,y
猫糞,ねこばば,การเอาของคนอื่นมาเป็นของตัวเอง,y
献血,けんけつ,การบริจาคเลือด,y
猶予,ゆうよ,ลังเล เลื่อน ผัดผ่อน,y
率いる,ひきいる,นำ เป็นหัวหน้า,y
率先,そっせん,การทำให้ดูเป็นเยี่ยงอย่าง,
瓜,うり,พืชจำพวกแตง (う),y
瓜二つ,うりふたつ,เหมือนกันราวกับแกะ,y
甘味処,あまみどころ,ร้านขนมหวาน,
生態系,せいたいけい,ระบบนิเวศ,y
生殖,せいしょく,การแพร่พันธ์ การขยายพันธุ์,y
甥,おい,หลานชาย,y
異口同音,いくどうおん,（四字熟語） พูดเป็นเสียงเดียวกัน,y
疎,そ,หรอมแหรม ห่างไกล แตกแยก,
疎か,おろそか,ไม่เอาใจใส่ แบบลวก ๆ ขอไปที,y
疫学,えきがく,ระบาดวิทยา,y
疼く,うずく,เจ็บ ปวด รวดร้าว,y
疼痛,とうつう,อาการปวดตุ๊บ ๆ,y
病床,びょうしょう,เตียงผู้ป่วย,y
痕跡,こんせき,ร่องรอย หลักฐานที่ทิ้งไว้,
発足,ほっそく,การออกเดินทาง,
白状,はくじょう,การสารภาพ การเปิดเผยความผิดของตัวเอง,y
百害あって一利なし,ひゃくがいあっていちりなし,(สำนวน) มีแต่เรื่องแย่ ๆ ไม่มีเรื่องดี ๆ เลย,y
的を射る,まとをいる,เข้าใจ จับประเด็นได้ ตรงเป้า,y
皆勤賞,かいきんしょう,รางวัลสำหรับพนักงานที่มาทำงานโดยไม่ขาดงาน,y
目が眩む,めがくらむ,ตาพร่า หน้ามืดตามัว,y
目が肥える,めがこえる,มีตาดี ตาถึง เทสดี,y
目出し帽,めだしぼう,หมวกไอ้โม่ง,y
目盛り,めもり,สเกล(ในกราฟ),y
目論む,もくろむ,วางแผนการ,y
目論見,もくろみ,แผนการ,
盲腸炎,もうちょうえん,ไส้ติ่งอักเสบ (!ち),y
直積,ちょくせき,ผลคูณคาร์ทีเซียน,y
相対的,そうたいてき,เชิงสัมพัทธ์,y
相棒,あいぼう,คนสมรู้ร่วมคิด หุ้นส่วน,y
眉間,みけん,หว่างคิ้ว,y
看板娘,かんばんむすめ,พนักงานที่เป็นจุดขายของร้าน,y
真実味,しんじつみ,ความเป็นจริง,
真空,しんくう,สุญญากาศ,y
着服,ちゃくふく,ยักยอกเงิน,y
睨む,にらむ,จ้องมอง กำกับ คาดเดา,
矛盾,むじゅん,ความขัดแย้ง,
短所,たんしょ,ข้อเสีย,y
短針,たんしん,เข็มสั้น (นาฬิกา),y
石油精製,せきゆせいせい,การกลั่นน้ำมัน,y
砂金,さきん,ผงทอง ตะกอนทองคำ,y
研ぐ,とぐ,ขัดให้เงา ลับให้คม ซาวข้าว,
砕ける,くだける,แตกเป็นผุยผง,y
破傷風,はしょうふう,บาดทะยัก,y
破片,はへん,เศษ ส่วนที่เหลือ,y
破綻,はたん,ล่มสลาย พัง ไม่สำเร็จ,
碑,いしぶみ,อนุสาวรีย์ หลักหิน,y
磁束,じそく,ฟลักซ์แม่เหล็ก,
確固,かっこ,มั่นคง แน่วแน่,
確約する,かくやくする,สัญญา รับปาก,
礎,いしずえ,ฐานหินของสิ่งก่อสร้าง,y
示唆,しさ,การชี้แนะ การแนะนำ,
社交,しゃこう,การเข้าสังคม,y
社交不安障害,しゃこうふあんしょうがい,โรคกลัวการเข้าสังคม,y
福利,ふくり,สวัสดิการ สังคมสงเคราะห์ (welfare),y
私利私欲,しりしよく,（四字熟語） เห็นแก่ได้ หน้าเงิน,y
稚拙,ちせつ,ความไม่มีศิลป์ ดูอ่อนหัด,y
種明かし,たねあかし,เฉลยกล เปิดเผยทริค,y
空き巣狙い,あきすねらい,การถือโอกาสขโมยตอนไม่มีคนอยู่บ้าน,y
空理空論,くうりくうろん,（四字熟語）  ทฤษฎีหรือหลักการที่ไม่มีประโยชน์ในทางปฏิบัติ,y
立替金,たてかえきん,เงินสำรองจ่าย เงินจ่ายล่วงหน้า,y
立法権,りっぽうけん,อำนาจนิติบัญญัติ,y
符号,ふごう,เครื่องหมาย สัญลักษณ์ อักษร,y
第一審裁判所,だいいっしんさいばんしょ,ศาลชั้นต้น,y
筵,むしろ,เสื่อ,y
節目,ふしめ,จุดเปลี่ยน,y
築く,きずく,สร้าง ก่อร่างสร้างตัว,y
簡明,かんめい,กระชับ ชัดเจน ชัดแจ้ง,y
簡潔,かんけつ,โดยย่อ โดยกระชับ,y
米俵,こめだわら,กระสอบข้าว,y
粒子,りゅうし,อนุภาคเล็ก ๆ,y
粗悪,そあく,คุณภาพไม่ดี,
精力,せいりょく,ความมุ่งมั่น,
精製水,せいせいすい,น้ำกลั่น,y
糞発,ふんはつ,การปลุกใจ การเร้าใจ การทุ่มเงินจ่าย เปย์,y
糸口,いとぐち,ปลายด้าย ปัจจัยที่นำไปสู่ เบาะแส,
紀元前,きげんぜん,ก่อนคริสตศักราช,y
純真,じゅんしん,ความบริสุทธิ์ ไม่มีสิ่งเจือปน ไร้ราคี,y
紛争,ふんそう,ความขัดแย้ง การโต้เถียง,
素朴,そぼく,ที่บริสุทธิ์ ไม่ได้ตกแต่ง เรียบง่าย ซื่อ ๆ,y
終焉,しゅうえん,สิ้นสุด ช่วงสุดท้าย บั้นปลาย,
組織,そしき,องค์กร,y
組閣,そかく,การตั้งคณะรัฐมนตรี,y
経度,けいど,เส้นลองจิจูด,y
結び目,むすびめ,ปม (ที่ขมวด),y
結託,けったく,สมรู้ร่วมคิด รวมหัวกัน,y
絞る,しぼる,บิด คั้น,y
給仕人,きゅうじにん,บริกร,
絶対的,ぜったいてき,เชิงสัมบูรณ์,y
絶縁体,ぜつえんたい,ฉนวน(ไฟฟ้า/ความร้อน),y
絹,きぬ,เส้นไหม แพร,y
絹糸,けんし,ด้ายไหม เส้นไหม,
維持,いじ,บำรุง รักษา ค้ำจุน,y
網戸,あみど,มุ้งลวด,y
網羅,もうら,ครอบคลุมทั้งหมด,y
網膜,もうまく,เรตินา,y
綿毛,わたげ,ปุยขนที่นุ่มอ่อนราวกับสำลี,
緊迫,きんぱく,ความตึงเครียด บีบคั้น,y
総当たり,そうあたり,en: brute-force,y
総括,そうかつ,การสรุปรวม การพิจารณาโดยรวม,y
線形目盛,せんけいめもり,สเกลเชิงเส้น,y
緯度,いど,เส้นละติจูด,y
緻密,ちみつ,ถี่ถ้วน ละเอียดละออ,
縛る,しばる,มัด,y
縞,しま,แถบ ลาย ริ้ว,y
縫う,ぬう,เย็บ,y
縮む,ちぢむ,หด,y
繊細,せんさい,ละเอียดละออ,y
繰る,くる,สาว ม้วน หมุนเก็บ(เชือก),y
罅,ひび,รอยร้าว ความร้าวฉาน,y
美辞麗句,びじれいく,ถ้อยคำที่ประดิษฐ์ประดอยมาให้ฟังดูไพเราะ,y
群青,ぐんじょう,สีน้ำเงินเข้ม,y
羨望,せんぼう,ความอิจฉา,y
習字,しゅうじ,การคัดลายมือ การเขียนตัวบรรจง,y
老若男女,ろうにゃくなんにょ,（四字熟語） ทุกเพศทุกวัย,y
考慮,こうりょ,การพิจารณา ไตร่ตรอง ใคร่ครวญ,y
耕す,たがやす,ไถนา พรวนดิน,y
耕作,こうさく,การเพาะปลูก การทำไร่นา,y
耳打ち,みみうち,การกระซิบข้างหู,y
耳栓,みみせん,ที่อุดหู,y
聖人君子,せいじんくんし,（四字熟語） คนที่สมบูรณ์แบบ คนที่มีความรู้และคุณธรรมสูงส่ง,y
職質,しょくしつ,การที่ตำรวจเรียกให้สอบสวน,y
肋骨,ろっこつ,กระดูกซี่โครง,y
肝に銘じる,きもにめいじる,จำไว้ไม่ลืม,y
肝炎,かんえん,ตับอักเสบ,y
肥える,こえる,อ้วนขึ้น สมบูรณ์ขึ้น มั่งคั่งขึ้น,y
肥満,ひまん,ความอ้วน (漢字),y
背面,はいめん,ด้านหลัง หันหลัง,y
胡坐をかく,あぐらをかく,นั่งขัดสมาธิ,y
胡散臭い,うさんくさい,น่าสงสัย ไม่น่าไว้ใจ (!あ),y
脅す,おどす,ขู่,y
脆い,もろい,เปราะ แตกหักง่าย บอบบาง,y
脆弱性,ぜいじゃくせい,ความเปราะบาง ความอ่อนไหว ความอ่อนแอ,
脚本,きゃくほん,บทละคร บทภาพยนตร์,y
脛,すね,หน้าแข้ง,y
脳卒中,のうそっちゅう,โรคหลอดเลือดสมอง (en: stroke),y
脳梗塞,のうこうそく,โรคเส้นเลือดในสมองตีบ,y
脳裏,のうり,ในสมอง ในใจ,y
脳裏をよぎる,のうりをよぎる,แว๊บเข้ามาในหัว ความคิดผุดขึ้นมา,y
腰を捻る,こしをひねる,บิดเอว,y
膨大,ぼうだい,ขนาดใหญ่ มโหฬาร,
臆病,おくびょう,ขี้ขลาด,y
臨戦態勢,りんせんたいせい,（四字熟語） เตรียมพร้อมต่อสู้ พร้อมรบ,y
臨機応変,りんきおうへん,（四字熟語） การแก้ไขปัญหาเฉพาะหน้า การปรับตัวเพื่อรับมือกับสถานการณ์,y
臨終,りんじゅう,วาระสุดท้ายของชีวิต,y
自ずから,おのずから,ด้วยตัวเอง เป็นไปตามธรรมชาติ,
自己嫌悪,じこけんお,การเกลียดชังตัวเอง,y
自治州,じちしゅう,เขตปกครองตนเอง แคว้น,y
至って,いたって,มาก ๆ,
至福,しふく,มีความสุขที่สุด,
興業,こうぎょう,การเริ่มธุรกิจใหม่ การเริ่มทำอะไรใหม่ ๆ,
色彩,しきさい,สีสัน,y
色褪せる,いろあせる,สีซีด สีจาง,y
芽生える,めばえる,แตกกิ่ง แตกต้นอ่อน,y
苛立つ,いらだつ,ประสาทกิน ถูกกวนประสาท,y
苦境に立たされる,くきょうにたたされる,การตกที่นั่งลำบาก ตกอยู่ในสถานการณ์ลำบาก,y
苦汁,にがり,ดีเกลือ,y
苦言を呈する,くげんをていする,ว่ากล่าวตักเตือนด้วยคำพูดรุนแรง,y
英断,えいだん,การกล้าตัดสินใจ,y
華奢,きゃしゃ,ละเอียดอ่อน บอบบาง น่าทะนุถนอม,y
華氏,かし,องศาฟาเรนไฮต์,y
著しい,いちじるしい,โดดเด่น,y
著作権,ちょさくけん,ลิขสิทธิ์,y
落胆,らくたん,ความท้อแท้ ความสิ้นหวัง,
葛藤,かっとう,เรื่องขัดแย้ง ความบาดหมาง,y
蔵書,ぞうしょ,หนังสือที่มีในครอบครอง,
蕁麻疹,じんましん,โรคลมพิษ,y
薪,たきぎ,ฟืน ไม้ฟืน,y
虚しい,むなしい,ว่างเปล่า ไร้ประโยชน์,y
虫垂炎,ちゅうすいえん,ไส้ติ่งอักเสบ (!も),y
蚕,かいこ,ตัวไหม,y
蚤,のみ,เห็บ หมัด,y
蛭,ひる,ปลิง,y
融資,ゆうし,การปล่อยเงินกู้,
血栓症,けっせんしょう,ลิ่มเลือดอุดตัน,y
衆議院,しゅうぎいん,สภาผู้แทนราษฎร,y
行事,ぎょうじ,พิธี งาน ธรรมเนียม,y
行政権,ぎょうせいけん,อำนาจบริหาร,y
衛生,えいせい,อนามัย,y
衣食住,いしょくじゅう,เครื่องนุ่มห่ม อาหาร ที่อยู่อาศัย,y
表裏一体,ひょうりいったい,（四字熟語） สองสิ่งที่เป็นหนึ่งเดียวกัน,y
衰える,おとろえる,เสื่อม ถดถอย อ่อนกำลัง มอด,y
袖をまくる,そでをまくる,เลิกแขนเสื้อ,y
補う,おぎなう,เสริม ชดเชย เติม,y
補強,ほきょう,เสริมให้แข็งแรงขึ้น,y
襲う,おそう,เข้าโจมตี เข้าถล่ม,
要旨,ようし,สรุปใจความสำคัญ,y
要約,ようやく,สรุป,y
覆い隠す,おおいかくす,บัง,y
覆す,くつがえす,ล้มล้าง หักล้าง คว่ำ,y
覗き穴,のぞきあな,ตาแมว (訓読み),y
覚悟,かくご,การยอมรับ การทำใจยอมรับ,y
覚醒,かくせい,ตาสว่าง ตื่น,y
親孝行,おやこうこう,กตัญญูกตเวที,y
角括弧,かくかっこ,วงเล็บเหลี่ยม,y
解く（ほどく）,,คลาย(ปม) แก้(เชือก),y
解剖,かいぼう,ชันสูตรพลิกศพ (ผ่า),y
解雇,かいこ,การเลิกจ้าง การไล่ออก,y
言い丸める,いいまるめる,พูดตะล่อม หว่านล้อม โน้มน้าว,y
言及,げんきゅう,การพาดพิง อ้างถึง,y
言語道断,ごんごどうだん,（四字熟語） หมดคำจะพูด โหดร้ายจนกว่าจะสรรหาคำมาพูด,y
討議,とうぎ,การอภิปราย ถกเถียง,y
許容,きょよう,ยอมรับได้,
該当,がいとう,ความเกี่ยวข้อง,
詳らか,つまびらか,ละเอียด,
誇示,こじ,โอ้อวด,y
誠意,せいい,ความจริงใจ ความบริสุทธิ์ใจ,y
語り尽くす,かたりつくす,พูดในเรื่องที่คู่สนทนาสนใจ,y
読経,どきょう,สวดมนต์,y
誰彼,だれかれ,ไม่ว่าใครก็ตาม,
誰彼なしに,だれかれなしに,ไม่ว่าจะกับใคร,y
誹謗中傷,ひぼうちゅうしょう,ใส่ร้าย,y
調律,ちょうりつ,การจูนเสียง การปรับเสียงของเครื่องดนตรี,y
請求書,せいきゅうしょ,ใบแจ้งหนี้,y
論功行賞,ろんこうこうしょう,（四字熟語） ให้รางวัลตอบแทนความสำเร็จ,y
論旨,ろんし,ประเด็นถกเถียง ประเด็นในบทความวิจัย,y
諸君,しょくん,พวกคุณทุกคน (พูดกับหมู่คณะ),y
諸外国,しょがいこく,นานาประเทศ,y
護身,ごしん,การป้องกันตัวเอง,
護送車,ごそうしゃ,รถคุมขัง,y
豊富,ほうふ,มั่งคั่ง อุดมสมบูรณ์,
豪州,ごうしゅう,ออสเตรเลีย,
負傷,ふしょう,การได้รับบาดเจ็บ,
負担,ふたん,ภาระ,y
財宝,ざいほう,สมบัติ,y
財界,ざいかい,แวดวงธุรกิจ,y
貧困,ひんこん,ความยากจน,y
貪欲,どんよく,โลภมาก ความโลภ ความกระหาย,y
貫く,つらぬく,เจาะ ทะลุ บรรจุ,
貫通,かんつう,ทะลุ,y
責め立てる,せめたてる,ตำหนิ ต่อว่าอย่างต่อเนื่อง,y
貯蓄,ちょちく,การออมทรัพย์,y
買い占める,かいしめる,กว้านซื้อ กักตุน,y
費やす,ついやす,ใช้ ทุ่มเท เสีย,
